"#";"RefDes";"Value";"Name"
"1";"C1";"100n";"CAP_0805"
"2";"J1";"";"644456-9 (PLS with step 2.54, if necessary)"
"3";"Q1";"";"BC857C"
"4";"Q2";"";"BC857C"
"5";"Q3";"";"BC857C"
"6";"Q4";"";"BC857C"
"7";"R1";"1K";"RES_0805"
"8";"R2";"1K";"RES_0805"
"9";"R3";"100";"RES_0805"
"10";"R4";"100";"RES_0805"
"11";"R5";"1K";"RES_0805"
"12";"R6";"100";"RES_0805"
"13";"R7";"1K";"RES_0805"
"14";"R8";"100";"RES_0805"
"15";"R9";"100";"RES_0805"
"16";"R10";"100";"RES_0805"
"17";"R11";"100";"RES_0805"
"18";"R12";"100";"RES_0805"
"19";"U1";"";"SN74HC164D"
"20";"U2";"";"ULF-5461BG 4 digit display"
